,melanoma_TMB,melanoma_TNB,melanoma_NPB,melanoma_NP-LandscapeSum,melanoma_NP-LandscapeCCF,melanoma_NP-LandscapeClone,NSCLC_TMB,NSCLC_TNB,NSCLC_NPB,NSCLC_NP-LandscapeSum,NSCLC_NP-LandscapeCCF,NSCLC_NP-LandscapeClone
14.0,242.28,59.64,33.28,8.081683267293382,3.763271749017119,6.847184273941523,297.64000000000004,69.16000000000001,47.0,11.112966231570663,3.189149244155842,11.214647310501329
15.0,255.6,61.4,35.4,8.257621814084512,3.81263694151771,9.80668316964428,309.25,72.1,48.05,11.479141781864602,3.4543441857527752,12.877282605491194
16.0,276.0,72.16,38.160000000000004,8.668770191811014,3.970390035140854,11.809019104424738,315.04,74.52000000000001,49.52,11.545188822829743,3.7477569429153252,13.813867601940155
17.0,288.04,74.84,39.92,9.183159682634383,4.2458161993654056,13.63289009522522,320.99,75.99000000000001,50.0,11.664321503238668,3.9887780367302383,16.15736259632735
18.0,303.36,77.0,41.0,9.447558775934526,4.828281722856662,16.16462893574222,330.0,78.0,52.0,12.144046333495137,4.031878584192458,18.086851249097524
19.0,308.52,81.88,48.879999999999995,10.941073050756145,5.399466907267335,18.587785210638057,342.37,79.0,52.93,12.953722541936248,4.135386758188165,20.370598204674373
20.0,340.6,85.2,51.0,11.73495247551236,5.650839837923254,22.462537143183344,352.4,81.0,55.80000000000001,13.392374185287421,4.288362863009212,22.02161987214221
21.0,357.84000000000003,90.92,52.96,12.822633385033624,5.920049041685986,24.924417537786123,355.61,83.0,59.60999999999999,14.008097023935267,4.542408409262753,25.10412219795365
22.0,371.72,94.0,55.0,13.087433249008393,6.682401318285972,27.67160293577302,363.70000000000005,86.68,61.68000000000001,14.333704406026559,4.611376100473167,26.9789194246618
23.0,389.48,95.0,56.480000000000004,13.801115956997208,6.944122184442494,31.50531532886055,377.24,89.81,63.81,14.937635775629534,4.779706368881441,28.00645895998704
24.0,405.27999999999986,96.47999999999999,59.199999999999974,14.587291676440916,7.909643102342411,36.99095213179505,389.12,92.0,65.56,15.153524953482064,5.085001560254772,31.774688165018997
25.0,427.0,100.0,66.0,15.734777382276869,8.192616129107147,39.89667259731677,397.75,93.75,67.75,15.358771986023664,5.304462752919284,34.93280022087588
26.0,457.36000000000007,107.0,70.76,16.32097152493766,10.574500433939912,43.4719241279375,402.98,97.0,68.22,16.260874836557697,5.6889332286146965,36.806733345311414
27.0,492.56000000000006,112.52000000000001,72.52000000000001,17.765380502695994,11.475819110765817,46.68962273955253,424.59,99.38,70.0,16.510820893779467,5.956495164777565,40.19314183459048
28.0,511.4,117.12,77.84,18.502476553236885,11.57048704011262,52.78352438117257,440.32000000000005,104.0,72.64000000000004,16.66961718637661,6.126547313397069,41.556310624600634
29.0,558.0799999999999,125.11999999999998,83.15999999999997,19.65206856325888,12.113611873330568,63.08903439104983,461.66999999999996,109.25999999999999,76.63,17.833157652996174,6.5121304947675185,42.89302263151969
30.0,584.8,131.6,89.0,20.394727864980023,12.800488853660255,71.32237698467563,471.2,112.1,78.29999999999998,18.351628860755625,6.6419468512625555,43.545051297946735
31.0,598.28,136.56,89.56,22.24332693552627,13.247182228564744,78.28346265299713,482.0,113.57,81.0,19.159080147283003,6.762558799979756,46.823420384496785
32.0,606.64,142.32,92.32000000000001,22.55782860591757,14.35470103300664,81.75123460485193,495.08000000000004,120.0,84.04,19.713264607390705,7.258456966778494,48.377685861008516
33.0,613.08,146.0,97.24,23.150137957299975,14.662591234171925,83.53358582558418,505.0,121.51,86.51,20.055482280772846,7.368443500716881,49.02498108432495
34.0,616.52,151.36,100.84,23.75123754214044,15.128794854563802,116.74545318326211,519.7,124.0,88.0,20.82314397051472,8.098803080056507,52.4810063016722
35.0,631.8,157.2,104.0,24.396127284082308,15.461219938379266,152.9025990329075,529.3999999999999,128.89999999999998,94.0,21.989101083315926,8.5924748226342,53.60378275653297
36.0,673.0,163.07999999999998,108.0,26.025565453838254,15.6721158381633,158.04519365063072,546.76,134.0,98.0,22.562007124410446,9.18697469853412,54.003787332789855
