,melanoma_TMB,melanoma_TNB,melanoma_NPB,melanoma_NP-LandscapeSum,melanoma_NP-LandscapeCCF,melanoma_NP-LandscapeClone,NSCLC_TMB,NSCLC_TNB,NSCLC_NPB,NSCLC_NP-LandscapeSum,NSCLC_NP-LandscapeCCF,NSCLC_NP-LandscapeClone
24.0,153.48,96.47999999999999,59.199999999999974,1.163949614404504,0.8981225622397447,1.5680940762681224,138.28,92.0,65.56,1.1805135312273138,0.7062909143039829,1.5020798090761005
25.0,155.0,100.0,66.0,1.1968606028366138,0.913422606157309,1.6009366768175097,141.5,93.75,67.75,1.1863491260658203,0.7245957539085192,1.5431154774950087
26.0,159.04000000000002,107.0,70.76,1.2127448811902022,1.0235315474888518,1.6380500946544372,150.22,97.0,68.22,1.2111418165221843,0.7549885104189613,1.5658680787374613
27.0,170.52,112.52000000000001,72.52000000000001,1.2495468309798505,1.059781927129521,1.6691313025714165,154.76,99.38,70.0,1.2177683365180922,0.7749703539444275,1.6041064121849493
28.0,186.56,117.12,77.84,1.2670475701197526,1.0633514174889644,1.7221975838758643,159.32000000000002,104.0,72.64000000000004,1.2219229154458533,0.787123355886969,1.6186304893615218
29.0,197.15999999999997,125.11999999999998,83.15999999999997,1.2934070949235243,1.083272106156091,1.7999535296075009,164.14999999999998,109.25999999999999,76.63,1.2512275494130862,0.813720917243736,1.6323865108788398
30.0,204.39999999999998,131.6,89.0,1.3094905954548004,1.1072225835656795,1.852854196367199,170.0,112.1,78.29999999999998,1.2636638487540353,0.8222936589130266,1.6389250467394447
31.0,210.12,136.56,89.56,1.3471744570113537,1.1221218569476172,1.8936660806651298,171.57,113.57,81.0,1.282364907497941,0.830110413513966,1.6704613665830321
32.0,215.96000000000004,142.32,92.32000000000001,1.3532962771096406,1.1569897238566322,1.9124842317042812,178.04000000000002,120.0,84.04,1.294758551382568,0.860843163651195,1.6846450175282113
33.0,221.07999999999998,146.0,97.24,1.3645531960094972,1.1662084031937892,1.921834479178558,182.55,121.51,86.51,1.302220477248307,0.8673733594044841,1.6904156474310537
34.0,232.52,151.36,100.84,1.3756718313859575,1.179801276701392,2.064477176716363,194.88000000000002,124.0,88.0,1.3185442539088872,0.9084086149661525,1.7200012074220903
35.0,239.39999999999998,157.2,104.0,1.3873070265730827,1.189235785770097,2.1843691305075406,198.14999999999992,128.89999999999998,94.0,1.3421911756517302,0.9341181138250616,1.729194179260929
36.0,248.36,163.07999999999998,108.0,1.4153993681142616,1.1951276286060706,2.198761815890288,203.0,134.0,98.0,1.3533775350574289,0.9631540484567764,1.7324240651500924
37.0,251.12,167.24,112.48000000000002,1.4219092697877402,1.253898290547619,2.2265834868410885,205.39,136.39,99.0,1.3678850248811423,0.9821955301620251,1.784518114022342
38.0,255.0,170.0,116.88,1.4447973134546201,1.3177934344305937,2.2906458921097417,208.86,138.72,100.0,1.3849917599337747,1.010385807113234,1.809496926765926
39.0,262.64,173.28,122.2,1.456932880153208,1.3271763767830107,2.31683291695745,212.99,141.32999999999998,102.33,1.3901593480399044,1.0284861421158116,1.8808195796777496
40.0,266.0,181.8,126.4,1.4733457831683356,1.3405129825901703,2.3909887014783076,215.8,143.0,104.0,1.3943322613941604,1.0449120956975972,1.9113973499925354
41.0,282.48,186.16,129.48,1.4845982869024574,1.3461745970786478,2.4465504073739672,217.26999999999998,144.26999999999998,105.0,1.3965784952566365,1.083272731191952,1.9249860391103653
42.0,286.92,189.0,132.92000000000002,1.4960724090229898,1.3687520035035816,2.457059160920485,225.17999999999995,146.0,105.74,1.397952107225254,1.0898197572487967,1.9552843518950462
43.0,301.0799999999999,202.68,138.0,1.51005165577871,1.3783776081472385,2.5008562083266197,230.63,147.63,107.0,1.4019456489340227,1.1024714805663145,1.9767872158771609
44.0,304.88,207.44,139.0,1.5223317802295684,1.3937075850403169,2.538665988207164,235.36,152.36,108.0,1.4041791374174373,1.131350993028761,2.0008056020882754
45.0,311.4,210.60000000000002,143.4,1.5274147981323765,1.408010114722096,2.5726731945099615,243.15,157.15,110.0,1.4071922945674809,1.1419529335635366,2.051790754614596
46.0,314.0,223.88000000000002,145.96,1.5386162506665637,1.4232544922430599,2.594386704080888,246.24,158.62,112.24000000000001,1.4204147874045685,1.1550033249002256,2.07092265096122
47.0,346.36,226.44,151.6,1.5566736460853887,1.4431821872794837,2.6360145319639785,248.0,164.08999999999997,116.0,1.4280937358152435,1.179603321591012,2.0829877890130226
48.0,355.48,235.0,163.48,1.5762841072415215,1.459397536402166,2.6608375859686846,253.48000000000002,169.12,117.0,1.4358700864958374,1.2009098543649728,2.109842077778275
49.0,360.24,237.20000000000005,168.48000000000002,1.5892602844239305,1.4816860657006403,2.6874965414001966,260.0,170.06,118.03,1.4504017910985734,1.2100821102227066,2.134429216381721
